index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
ALEC,ALEC,"Alector, Inc.",19.92,-6.39098,-1.3600006,19.6,21.28,43.32,13.0,1619019776.0,23.3771,22.53605,393344.0,589052.0,NASDAQ,20.92,21.28,-0.42,,2022-02-23T10:59:00.000+0000,81276093.0,1638176236
ALGT,ALGT,Allegiant Travel Company,174.59,-5.91691,-10.980011,170.02,176.905,271.29,169.2,3157931520.0,190.1494,210.24265,214484.0,146771.0,NASDAQ,175.57,185.57,6.572,26.565733,2022-02-01T10:59:00.000+0000,18087700.0,1638176236
ALKT,ALKT,"Alkami Technology, Inc.",27.67,1.9152873,0.52000046,26.73,27.99,49.32,24.01,2439052544.0,27.4718,31.704403,269064.0,234338.0,NASDAQ,26.77,27.15,-1.068,,2021-11-04T16:01:02.000+0000,88147905.0,1638176236
ALLT,ALLT,Allot Ltd.,11.47,-2.1331058,-0.25,11.2,13.225,21.04,9.6,417573376.0,14.2418,16.55265,109260.0,170433.0,NASDAQ,11.84,11.72,-0.361,,2022-02-07T13:30:00.000+0000,36405700.0,1638176236
ALM.MC,ALM.MC,"Almirall, S.A.",10.77,0.18605077,0.02000046,10.73,10.86,15.35,10.26,1935304448.0,12.6598,13.3583,52836.0,371628.0,EURONEXT,10.84,10.75,-0.084,,2022-02-21T07:30:00.000+0000,179694006.0,1638176236
ALO,ALO,,43.53,-0.27,-0.119998,,,45.2,31.41,,44.146572,41.336086,,0.0,,,43.649998,,,,,1638176236
ALTD,ALTD,"Altitude International Holdings, Inc.",0.108,-21.167877,-0.02899999,0.08,0.137,1.4,0.032,38346264.0,0.2095568,0.3194165,382873.0,120244.0,MUTUAL_FUND,0.137,0.137,-0.064,,,355058000.0,1638176236
ALTM,ALTM,Altus Midstream Company,68.66,-4.399883,-3.159996,66.14,70.0,91.0,36.02,257231952.0,70.5284,64.15575,42564.0,64960.0,NASDAQ,70.0,71.82,5.735,11.972101,2022-02-22T21:00:00.000+0000,3746460.0,1638176236
ALTUU,ALTUU,Altitude Acquisition Corp.,10.245,-0.5339835,-0.05500031,10.16,10.16,17.0,9.92,,10.1904,10.529535,90.0,2242.0,NASDAQ,10.245,10.3,,,,,1638176236
ALYA,ALYA,Alithya Group Inc.,2.54,-0.3921565,-0.00999999,2.49,2.54,5.47,2.01,213140032.0,2.741,2.6096,4912.0,26104.0,NASDAQ,2.5,2.55,-0.133,,2022-02-09T10:59:00.000+0000,83913398.0,1638176236
AMOT,AMOT,Allied Motion Technologies Inc.,38.24,-4.4955025,-1.7999992,37.36,39.1941,44.7,26.813334,568024640.0,35.556,34.383034,25785.0,29093.0,NASDAQ,38.64,40.04,1.755,21.789175,2021-11-03T16:15:01.000+0000,14854201.0,1638176236
AMRK,AMRK,"A-Mark Precious Metals, Inc.",70.72,0.75509155,0.5299988,68.27,71.31,80.925,25.08,802820544.0,67.4754,49.630226,50370.0,103742.0,NASDAQ,68.27,70.19,16.088,4.395823,2022-02-07T21:00:00.000+0000,11352100.0,1638176236
AMST,AMST,Amesite Inc.,1.35,0.7462679,0.00999999,1.26,1.35,9.06,1.24,29680696.0,1.6408,2.808545,54163.0,136431.0,NASDAQ,1.28,1.34,-0.428,,,21985701.0,1638176236
ANGO,ANGO,"AngioDynamics, Inc.",27.22,-5.6499166,-1.6300011,27.17,28.74,32.0,13.55,1052063872.0,27.4908,25.43985,118356.0,229279.0,NASDAQ,28.18,28.85,-0.89,,2022-01-05T07:00:00.000+0000,38650399.0,1638176236
ANVV,ANVV,Anvia Holdings Corporation,0.0001,0.0,0.0,0.0001,0.0001,0.05,1e-05,4225.0,0.0003,0.00914082,1450.0,979.0,MUTUAL_FUND,0.0001,0.0001,-0.079,,2019-05-21T14:59:00.000+0000,42250000.0,1638176236
APEN,APEN,"Apollo Endosurgery, Inc.",8.26,-1.6666595,-0.13999939,7.81,8.38,10.39,3.1,326208064.0,9.141,7.649,130461.0,227658.0,NASDAQ,8.19,8.4,-0.657,,2021-11-01T20:00:00.000+0000,39492502.0,1638176236
APT,APT,"Alpha Pro Tech, Ltd.",6.41,25.195312,1.29,5.92,6.71,20.54,4.91,84819680.0,6.141,8.6081,11756668.0,589088.0,AMEX,6.5,5.12,0.988,6.4878545,2021-11-04T09:00:02.000+0000,13232399.0,1638176236
AQ,AQ,,101.22,-1.91,-1.9683,101.22,105.13,114.285,41.745,,95.259415,74.58099,7792.0,11833.0,,104.53,103.1883,,,,,1638176236
AQB,AQB,"AquaBounty Technologies, Inc.",2.58,-7.5268836,-0.21000004,2.52,2.7102,13.32,2.32,183246288.0,3.8152,5.2524,1198184.0,1121311.0,NASDAQ,2.6353,2.79,-0.353,,2021-11-04T08:30:00.000+0000,71025693.0,1638176236
ARG.NZ,ARG.NZ,Argosy Property Limited,1.415,-2.0761306,-0.03000009,1.415,1.435,1.73,1.415,1195191040.0,1.5615,1.554575,907355.0,1624249.0,NZE,1.42,1.445,0.303,4.6699667,2021-11-23T10:59:00.000+0000,844657979.0,1638176236
ARGO-PA,ARGO-PA,"Argo Group International Holdings, Ltd.",26.92,-0.55411756,-0.14999962,26.7901,27.0399,28.3,25.76,,27.467985,27.41577,9010.0,12594.0,NYSE,26.98,27.07,3.169,8.494794,,,1638176236
ARMP,ARMP,Armata Pharmaceuticals Inc.,5.22,-4.7445297,-0.26000023,5.21,5.381,10.48,2.56,141390480.0,3.6588,4.1742,23468.0,34523.0,AMEX,5.32,5.48,-1.072,,2021-11-10T16:05:09.000+0000,27086299.0,1638176236
ARRW,ARRW,Arrowroot Acquisition Corp.,9.71,-0.41025603,-0.03999996,9.71,9.71,9.87,9.61,348953120.0,9.71402,9.68288,11.0,17684.0,NASDAQ,9.73,9.75,,,,35937499.0,1638176236
ARTW,ARTW,"Art's-Way Manufacturing Co., Inc.",3.73,3.3241034,0.12000012,3.645,3.73,5.48,2.3,16911708.0,3.6038,3.4234,6565.0,21617.0,NASDAQ,3.7,3.61,-0.142,,2022-02-03T10:59:00.000+0000,4533970.0,1638176236
ASND,ASND,Ascendis Pharma A/S,143.82,-2.42214,-3.569992,141.49,147.97,183.98,109.36,8180151296.0,156.4136,141.03952,81307.0,215690.0,NASDAQ,145.96,147.39,-8.739,,2021-11-09T21:00:00.000+0000,56877703.0,1638176236
ASPO.HE,ASPO.HE,Aspo Oyj,10.86,0.74211437,0.07999992,10.72,10.94,13.5,6.86,339462944.0,11.482,10.06845,5797.0,14920.0,HEL,10.72,10.78,0.846,12.836879,2022-02-09T10:59:00.000+0000,31258098.0,1638176236
ASTE,ASTE,"Astec Industries, Inc.",66.26,-2.8303273,-1.9300003,63.77,66.32,80.0,50.29,1508389120.0,58.7344,64.5328,90568.0,100730.0,NASDAQ,65.93,68.19,1.85,35.816216,2021-11-03T07:00:00.000+0000,22764701.0,1638176236
ATC,ATC,Atotech Limited,24.45,-1.3715214,-0.34000015,24.32,24.72,26.67,17.0,4760317440.0,24.254,23.30835,512652.0,433109.0,NYSE,24.6,24.79,-0.302,,2021-11-09T01:00:00.000+0000,194696010.0,1638176236
ATER,ATER,"Aterian, Inc.",5.48,1.2939034,0.07000017,5.02,5.56,48.99,3.04,293337824.0,8.1484,16.635124,2792206.0,26786206.0,NASDAQ,5.05,5.41,-9.768,,2021-11-08T16:05:04.000+0000,53528800.0,1638176236
ATHM,ATHM,Autohome Inc.,35.03,-2.450574,-0.88000107,34.85,35.49,147.67,33.02,4378049024.0,42.7282,67.5746,459455.0,869900.0,NYSE,35.01,35.91,3.854,9.089257,2022-01-31T13:30:00.000+0000,124979989.0,1638176236
ATSG,ATSG,"Air Transport Services Group, Inc.",27.04,-3.909021,-1.0999985,26.13,27.57,32.43,21.42,2006349056.0,25.7868,26.18185,278173.0,470936.0,NASDAQ,27.52,28.14,2.356,11.47708,2022-02-23T10:59:00.000+0000,74199299.0,1638176236
AUDC,AUDC,AudioCodes Ltd.,34.95,-0.6820059,-0.23999786,34.48,35.225,37.35,25.9,1129049344.0,34.4908,32.1907,76343.0,103428.0,NASDAQ,34.75,35.19,1.028,33.998055,2022-01-24T13:30:00.000+0000,32304702.0,1638176236
AURCU,AURCU,Aurora Acquisition Corp.,10.27,0.0,0.0,10.27,10.27,11.56,9.78,,10.36938,10.301893,1088.0,25928.0,NASDAQ,10.27,10.27,,,,,1638176236
AUS,AUS,Austerlitz Acquisition Corporation I,9.82,-0.40567914,-0.03999996,9.8,9.87,10.16,9.8,967971136.0,9.9432,9.922384,36275.0,622726.0,NYSE,9.87,9.86,,,,98571399.0,1638176236
AUUD,AUUD,Auddia Inc.,2.07,-2.8169098,-0.06000018,2.02,2.09,9.3,1.86,25698222.0,2.4351,2.9822526,90267.0,470298.0,NASDAQ,2.02,2.13,-1.709,,,12414600.0,1638176236
AVACU,AVACU,Avalon Acquisition Inc.,10.18,0.44400665,0.04500008,10.15,10.2,10.2,10.0,,10.081216,10.081216,8173.0,264835.0,NASDAQ,10.18,10.135,,,,,1638176236
AVTX,AVTX,"Avalo Therapeutics, Inc.",2.09,-3.6866434,-0.08000016,2.04,2.15,4.5,2.03,234744608.0,2.2686,2.83135,234022.0,513104.0,NASDAQ,2.1,2.17,-0.865,,2021-11-09T16:01:00.000+0000,112317994.0,1638176236
AWX,AWX,Avalon Holdings Corporation,4.03,-2.42366,-0.1001,3.98,4.1008,6.07,2.1,15714704.0,4.0098,4.1068,10275.0,24109.0,AMEX,4.06,4.1301,0.744,5.416667,2021-11-12T07:00:13.000+0000,3899430.0,1638176236
AY,AY,Atlantica Sustainable Infrastructure plc,38.75,-1.7992882,-0.7099991,38.3,39.21,48.49,31.61,4319733760.0,37.4118,37.305923,231561.0,448644.0,NASDAQ,39.09,39.46,-0.62,,2021-11-10T07:31:34.000+0000,111477000.0,1638176236
AYI,AYI,"Acuity Brands, Inc.",210.06,-2.2658517,-4.869995,208.71,212.06,224.59,112.1,7349369344.0,201.5682,176.89725,108786.0,327887.0,NYSE,210.08,214.93,8.38,25.066826,2022-01-05T13:30:00.000+0000,34987001.0,1638176236
AYRWF,AYRWF,Ayr Wellness Inc.,18.21,1.1666615,0.20999908,17.4,18.675,37.5,16.68,1204769920.0,22.2698,27.11832,47664.0,215949.0,PNK,17.4,18.0,-4.041,,2021-08-16T20:00:00.000+0000,66159798.0,1638176236
BAK,BAK,Braskem S.A.,18.0,-1.0989052,-0.20000076,17.71,18.1,26.93,8.28,7164593664.0,20.076,19.59825,89167.0,198228.0,NYSE,18.09,18.2,6.454,2.788968,,398032981.0,1638176236
BAM,BAM,Brookfield Asset Management Inc.,57.55,-2.6556153,-1.5699997,56.8,57.82,62.2,37.92,91104526336.0,58.0268,51.36485,930968.0,1546982.0,NYSE,57.49,59.12,2.132,26.993433,2022-02-10T13:30:00.000+0000,1583049980.0,1638176236
BANC,BANC,"Banc of California, Inc.",20.22,-4.9812093,-1.0600014,19.76,20.94,22.09,13.18,1266932608.0,20.0678,18.52655,168850.0,337628.0,NYSE,20.46,21.28,1.277,15.833986,2022-01-19T13:30:00.000+0000,62657399.0,1638176236
BANX,BANX,StoneCastle Financial Corp.,21.55,-2.000912,-0.44000053,21.55,21.98,22.74,18.89,152351168.0,22.1086,21.363,6034.0,10255.0,NASDAQ,21.94,21.99,2.389,9.020511,2021-11-10T16:20:00.000+0000,7069660.0,1638176236
BBD,BBD,Banco Bradesco S.A.,3.65,-2.9255292,-0.1099999,3.58,3.675,5.7,3.39,35366785024.0,3.732,4.4143,31990791.0,36134057.0,NYSE,3.67,3.76,0.435,8.390805,,9689530144.0,1638176236
BDGY,BDGY,Bridgeway National Corp.,0.0002,0.0,0.0,0.0002,0.0002,0.5,0.0001,482.0,0.0737444,0.0776123,7.0,56670.0,MUTUAL_FUND,0.0002,0.0002,-1.0,,,2410000.0,1638176236
BDXA,BDXA,"Becton, Dickinson and Company",59.24,-2.24422,-1.36,58.915,62.32,64.12,49.07,64578707456.0,59.24,59.24,6151137.0,0.0,NYSE,60.76,60.6,2.763,21.440464,,1090119977.0,1638176236
BEDU,BEDU,Bright Scholar Education Holdings Limited,1.84,-2.6455,-0.05,1.8,1.8992,6.64,1.54,219313280.0,2.6846,4.1793,6411.0,71125.0,NYSE,1.86,1.89,0.206,8.932039,2022-01-18T21:00:00.000+0000,119192000.0,1638176236
BELFB,BELFB,Bel Fuse Inc.,12.27,-4.0656724,-0.5199995,12.05,12.6802,23.0,10.58,156133296.0,12.9472,15.2158,61858.0,70366.0,NASDAQ,13.25,12.79,1.645,7.4589667,2020-10-30T11:00:00.000+0000,12724800.0,1638176236
BFIIW,BFIIW,"BurgerFi International, LLC",1.18,-7.450983,-0.09500003,1.1,1.3,1.3,1.1,,0.0,0.0,16371.0,0.0,NASDAQ,1.56,1.275,,,,,1638176236
